Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TL_Cura_Appointment_Confirmation_TestSuite_001,Chrome 120.0.0.0,,,27-01-2024 11:33:28,27-01-2024 11:34:01,32.944s,PASSED
,,,,,,,
Test Cases/TC_TL_Appointmnet_Confirmation_001/TL_Appointment_Confirmation,Chrome 120.0.0.0,,,27-01-2024 11:33:49,27-01-2024 11:34:01,12.410s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,27-01-2024 11:33:49,27-01-2024 11:33:54,5.377s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TL_Cura_Appointment_Confirmation_001/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Seoul CURA Healthcare Center"", true)",Chrome 120.0.0.0,,,27-01-2024 11:33:54,27-01-2024 11:33:55,1.026s,PASSED
"click(findTestObject(""Object Repository/TL_Cura_Appointment_Confirmation_001/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 120.0.0.0,,,27-01-2024 11:33:55,27-01-2024 11:33:56,0.412s,PASSED
"click(findTestObject(""Object Repository/TL_Cura_Appointment_Confirmation_001/Page_CURA Healthcare Service/td_18""))",Chrome 120.0.0.0,,,27-01-2024 11:33:56,27-01-2024 11:33:56,0.460s,PASSED
"click(findTestObject(""Object Repository/TL_Cura_Appointment_Confirmation_001/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,27-01-2024 11:33:56,27-01-2024 11:33:58,1.600s,PASSED
"click(findTestObject(""Object Repository/TL_Cura_Appointment_Confirmation_001/Page_CURA Healthcare Service/h2_Appointment Confirmation""))",Chrome 120.0.0.0,,,27-01-2024 11:33:58,27-01-2024 11:33:58,0.479s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,27-01-2024 11:33:58,27-01-2024 11:34:01,2.938s,PASSED
