Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sample_Cura_Make_appointment_KRE_001,Chrome 120.0.0.0,,,30-01-2024 15:23:48,30-01-2024 15:24:14,26.548s,PASSED
,,,,,,,
Test Cases/TC_Cura_Make_Appointment_Sample_KRE_001/TC_Cura_Appointment_KRE_001,Chrome 120.0.0.0,,,30-01-2024 15:23:48,30-01-2024 15:24:14,26.374s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,30-01-2024 15:23:48,30-01-2024 15:23:48,0.389s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,30-01-2024 15:23:48,30-01-2024 15:23:48,0.074s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,30-01-2024 15:23:48,30-01-2024 15:23:48,0.053s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,30-01-2024 15:23:48,30-01-2024 15:23:48,0.054s,ERROR
"openBrowser("""")",Chrome 120.0.0.0,,,30-01-2024 15:23:48,30-01-2024 15:23:51,2.380s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 120.0.0.0,,,30-01-2024 15:23:51,30-01-2024 15:24:04,12.987s,PASSED
"click(findTestObject(""Object Repository/Sample_Make_Appointment_KRE_001/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,30-01-2024 15:24:04,30-01-2024 15:24:05,1.729s,PASSED
"setText(findTestObject(""Object Repository/Sample_Make_Appointment_KRE_001/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 120.0.0.0,,,30-01-2024 15:24:05,30-01-2024 15:24:06,0.712s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Sample_Make_Appointment_KRE_001/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 120.0.0.0,,,30-01-2024 15:24:06,30-01-2024 15:24:07,0.491s,PASSED
"click(findTestObject(""Object Repository/Sample_Make_Appointment_KRE_001/Page_CURA Healthcare Service/button_Login""))",Chrome 120.0.0.0,,,30-01-2024 15:24:07,30-01-2024 15:24:08,0.900s,PASSED
"click(findTestObject(""Object Repository/Sample_Make_Appointment_KRE_001/Page_CURA Healthcare Service/label_Apply for hospital readmission""))",Chrome 120.0.0.0,,,30-01-2024 15:24:08,30-01-2024 15:24:08,0.347s,PASSED
"click(findTestObject(""Object Repository/Sample_Make_Appointment_KRE_001/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 120.0.0.0,,,30-01-2024 15:24:08,30-01-2024 15:24:08,0.345s,PASSED
"click(findTestObject(""Object Repository/Sample_Make_Appointment_KRE_001/Page_CURA Healthcare Service/input_visit_date""))",Chrome 120.0.0.0,,,30-01-2024 15:24:08,30-01-2024 15:24:09,0.365s,PASSED
"click(findTestObject(""Object Repository/Sample_Make_Appointment_KRE_001/Page_CURA Healthcare Service/td_30""))",Chrome 120.0.0.0,,,30-01-2024 15:24:09,30-01-2024 15:24:09,0.478s,PASSED
"click(findTestObject(""Object Repository/Sample_Make_Appointment_KRE_001/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,30-01-2024 15:24:09,30-01-2024 15:24:10,1.214s,PASSED
"click(findTestObject(""Object Repository/Sample_Make_Appointment_KRE_001/Page_CURA Healthcare Service/h2_Appointment Confirmation""))",Chrome 120.0.0.0,,,30-01-2024 15:24:10,30-01-2024 15:24:11,0.464s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,30-01-2024 15:24:11,30-01-2024 15:24:11,0.160s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,30-01-2024 15:24:11,30-01-2024 15:24:11,0.045s,ERROR
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,30-01-2024 15:24:11,30-01-2024 15:24:11,0.041s,ERROR
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,30-01-2024 15:24:11,30-01-2024 15:24:11,0.031s,ERROR
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,30-01-2024 15:24:11,30-01-2024 15:24:14,3.031s,PASSED
